1.9 958 549 139 269 1
1.10 1639 918 282 438 1
2.0 1983 1139 332 511 1
2.1 2135 1222 365 547 1
2.2 2608 1502 444 652 10
2.3 3146 1866 435 827 18
2.4 3376 2021 457 874 24
2.5 3676 2233 498 912 33
2.6 3918 2405 534 943 36
2.7 4205 2605 570 982 48
3.0 4410 2752 578 1029 51
3.1 4860 3075 620 1109 56
3.2 5277 3343 684 1189 61
3.3 5315 3328 677 1239 71
3.4 5231 3253 664 1235 79
3.5 5643 3615 678 1264 86
3.6 5548 3510 681 1271 86
3.7 5699 3629 683 1298 89
3.8 5674 3652 663 1272 87
3.9 5703 3721 652 1241 89
3.10 5669 3724 631 1224 90
3.11 5352 3430 620 1211 91
3.12 4832 3172 500 1073 87

